,idSite,accessLevel,owner,is_admin,name,identifier,idUser,pvMax,timezone,phonenumber,notes,geofence,geofenceEnabled,realtimeUpdates,hasMains,hasGenerator,noDataAlarmTimeout,alarmMonitoring,invalidVRMAuthTokenUsedInLogRequest,syscreated,grafanaEnabled,shared,device_icon,datesubmited
0,6354,0,True,False,"AB0001_SW_Access Bank Surulere, Lagos",6ceceb7dd5a3,19965,25182,Africa/Lagos,,"<p>Panels: 84</p>

<p>ACs: &nbsp; &nbsp; 28.5Hp</p>

<p>Gen Size: 45kVa</p>
",,False,True,0,1,,1,0,1460907933,0,False,generator,
1,130450,1,True,True,"AB0003_SS_Access Bank Warri-Sapele Road, Warri, Delta",985dad3ecc49,19965,0,UTC,08182674454,,,False,True,0,0,,1,0,1632918433,0,False,solar,
2,117886,1,True,True,"AB0004_SS_ Access Bank Udu Road, Warri, Delta",507224b74abe,19965,0,UTC,09124633587,,,False,True,0,0,,1,0,1625930941,0,False,generator,
3,127354,1,True,True,AB0005_SW_Access bank Ajao Estate,507224b272fa,19965,0,UTC,,,,False,True,1,1,,1,0,1631202639,0,False,generator,
4,120436,1,True,True,AB0008_SS_Access bank East west road PH,0479b7ec3087,19965,0,UTC,,,,False,True,0,0,,1,0,1627221518,0,False,generator,
5,112049,1,True,True,AB0009_SW_Access Bank Badagry,507224b2920c,19965,0,Africa/Lagos,09122544501,,,True,True,1,1,,1,0,1622977761,0,False,generator,
6,108742,1,True,True,"AB0012_SE_Access bank Wetheral,Imo state",507224b286f4,19965,0,UTC,08061424984,,,False,True,1,1,,1,0,1621104641,0,False,solar,
7,114389,1,True,True,"AB0013_SW_ACCESS BANK OTA, OGUN STATE",507224b29209,19965,0,UTC,09137363708,,,False,True,1,1,,1,0,1624175786,0,False,generator,
8,116713,1,True,True,AB0014_SW_Access Bank Ile Ife,0479b7ecfabc,19965,0,UTC,09124257112,,,False,True,0,0,,1,0,1625311790,0,False,grid,
9,125400,0,True,False,"Access bank Seme border, AB0002",3ca30856d742,19965,0,UTC,,,,False,True,0,0,,1,0,1630061767,0,False,battery,
10,11878,0,True,False,"AD0001_SW_Oando Orile, Lagos",a0f6fd5aa8c3,19965,0,Africa/Lagos,,,,False,True,0,0,,1,0,1493118470,0,False,battery,
11,19357,0,True,False,"AD0002_SW_Oando Ijora, Lagos",985dadcb4c0e,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1522695865,0,False,battery,
12,19384,0,True,False,"AD0003_SW_Oando Igbobi, Fadeyi, Lagos",985dadcb0fe2,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1522782632,0,False,battery,
13,18945,0,True,False,"AD0004_SW_Oando Tradefair, Badagry Expressway, Lagos",9884e3b31af8,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1521043036,0,False,solar,
14,19418,1,True,True,"AD0005_SW_Oando Awolowo Road 1, Ikoyi, Lagos",9884e3b396ec,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1522881824,0,False,battery,
15,19379,1,True,True,"AD0006_SW_Oando Alapere, Lagos",9884e3b32b88,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1522766617,0,False,solar,
16,31307,1,True,True,"AD0009_NC_Oando Herbert Macaulay Way, Abuja, FCT",985dadcabda7,19965,0,UTC,,,,False,True,1,1,,1,0,1548963657,0,False,solar,
17,21109,0,True,False,"AD0010_NW_Oando Junction Road, Kaduna",985dadcaf3b4,19965,0,UTC,,,,False,True,0,0,,1,0,1527236394,0,False,battery,
18,58794,0,True,False,"AD0011_NC_Oando Abacha Road, Nassarawa",0479b7f1e144,19965,0,UTC,,,,False,True,1,1,,1,0,1587923464,0,False,battery,
19,31949,0,True,False,"AD0011_NC_Oando Abacha Road, Nassarawa (Old)",985dadcaee06,19965,0,UTC,,,,False,True,1,1,,1,0,1550426834,0,False,solar,
20,31943,0,True,False,"AD0012_NC_Oando Garki, Abuja, FCT",508cb1e365d8,19965,0,UTC,,,,False,True,1,1,,1,0,1550412779,0,False,solar,
21,32336,0,True,False,"AD0013_NC_Oando Kashim Ibrahim Way, Makurdi, Benue",9884e3b382e2,19965,0,UTC,,,,False,True,1,1,,1,0,1551085335,0,False,solar,
22,32229,0,True,False,"AD0015_NW_Oando Club Road, Kano",508cb1e37c50,19965,0,UTC,,,,False,True,0,0,,1,0,1550814251,0,False,battery,
23,32231,0,True,False,"AD0016_NW_Oando Challawa, Kano",9884e3aed7f9,19965,0,UTC,,,,False,True,1,1,,1,0,1550815704,0,False,battery,
24,33290,0,True,False,"AD0017_SW_Oando Isheri Road, Lagos",38d2692bc6a1,19965,0,Africa/Lagos,,,,False,True,1,1,,1,0,1552586462,0,False,solar,
25,31381,0,True,False,"AD0020_SW_Oando Secretariat Alausa, Oregun, Lagos",985dadcb84ec,19965,0,UTC,,,,False,True,1,1,,1,0,1549205704,0,False,solar,
26,32743,0,True,False,"AD0021_SW_Oando Fola Agoro, Igbobi, Lagos",985dadcaca09,19965,0,UTC,,,,False,True,1,1,,1,0,1551786685,0,False,battery,
